Date;Euro
30/12/2023 23:00:00;€ € 43,23
30/12/2023 22:00:00;€ € 50,10
30/12/2023 21:00:00;€ € 39,78
30/12/2023 20:00:00;€ € 62,01
30/12/2023 19:00:00;€ € 71,09
30/12/2023 18:00:00;€ € 79,99
30/12/2023 17:00:00;€ € 77,04
30/12/2023 16:00:00;€ € 61,04
30/12/2023 15:00:00;€ € 55,17
30/12/2023 14:00:00;€ € 42,04
30/12/2023 13:00:00;€ € 28,77
30/12/2023 12:00:00;€ € 28,63
30/12/2023 11:00:00;€ € 34,43
30/12/2023 10:00:00;€ € 36,21
30/12/2023 9:00:00;€ € 46,10
30/12/2023 8:00:00;€ € 45,85
30/12/2023 7:00:00;€ € 30,83
30/12/2023 6:00:00;€ € 16,81
30/12/2023 5:00:00;€ € 9,02
30/12/2023 4:00:00;€ € 5,74
30/12/2023 3:00:00;€ € 5,62
30/12/2023 2:00:00;€ € 8,88
30/12/2023 1:00:00;€ € 13,41
30/12/2023 0:00:00;€ € 16,81
29/12/2023 23:00:00;€ € 19,08
29/12/2023 22:00:00;€ € 28,39
29/12/2023 21:00:00;€ € 25,93
29/12/2023 20:00:00;€ € 32,30
29/12/2023 19:00:00;€ € 41,74
29/12/2023 18:00:00;€ € 44,62
29/12/2023 17:00:00;€ € 45,30
29/12/2023 16:00:00;€ € 36,74
29/12/2023 15:00:00;€ € 31,38
29/12/2023 14:00:00;€ € 23,33
29/12/2023 13:00:00;€ € 9,76
29/12/2023 12:00:00;€ € 16,54
29/12/2023 11:00:00;€ € 18,80
29/12/2023 10:00:00;€ € 23,12
29/12/2023 9:00:00;€ € 22,16
29/12/2023 8:00:00;€ € 12,99
29/12/2023 7:00:00;€ € 0,31
29/12/2023 6:00:00;€ € 0,21
29/12/2023 5:00:00;€ € -0,27
29/12/2023 4:00:00;€ € -1,48
29/12/2023 3:00:00;€ € -2,00
29/12/2023 2:00:00;€ € -0,38
29/12/2023 1:00:00;€ € -0,09
29/12/2023 0:00:00;€ € -0,01
28/12/2023 23:00:00;€ € 0,42
28/12/2023 22:00:00;€ € 25,00
28/12/2023 21:00:00;€ € 26,30
28/12/2023 20:00:00;€ € 39,53
28/12/2023 19:00:00;€ € 50,35
28/12/2023 18:00:00;€ € 59,26
28/12/2023 17:00:00;€ € 60,50
28/12/2023 16:00:00;€ € 41,72
28/12/2023 15:00:00;€ € 32,70
28/12/2023 14:00:00;€ € 20,06
28/12/2023 13:00:00;€ € 8,93
28/12/2023 12:00:00;€ € 10,75
28/12/2023 11:00:00;€ € 22,03
28/12/2023 10:00:00;€ € 29,60
28/12/2023 9:00:00;€ € 38,79
28/12/2023 8:00:00;€ € 38,35
28/12/2023 7:00:00;€ € 17,05
28/12/2023 6:00:00;€ € 0,54
28/12/2023 5:00:00;€ € 0,00
28/12/2023 4:00:00;€ € -1,05
28/12/2023 3:00:00;€ € -0,90
28/12/2023 2:00:00;€ € -0,91
28/12/2023 1:00:00;€ € -0,27
28/12/2023 0:00:00;€ € 0,48
27/12/2023 23:00:00;€ € 0,58
27/12/2023 22:00:00;€ € 17,23
27/12/2023 21:00:00;€ € 24,95
27/12/2023 20:00:00;€ € 54,73
27/12/2023 19:00:00;€ € 65,02
27/12/2023 18:00:00;€ € 74,44
27/12/2023 17:00:00;€ € 80,42
27/12/2023 16:00:00;€ € 76,30
27/12/2023 15:00:00;€ € 69,88
27/12/2023 14:00:00;€ € 67,13
27/12/2023 13:00:00;€ € 65,43
27/12/2023 12:00:00;€ € 67,15
27/12/2023 11:00:00;€ € 70,02
27/12/2023 10:00:00;€ € 67,60
27/12/2023 9:00:00;€ € 78,35
27/12/2023 8:00:00;€ € 70,44
27/12/2023 7:00:00;€ € 70,36
27/12/2023 6:00:00;€ € 65,06
27/12/2023 5:00:00;€ € 54,11
27/12/2023 4:00:00;€ € 49,65
27/12/2023 3:00:00;€ € 51,50
27/12/2023 2:00:00;€ € 57,22
27/12/2023 1:00:00;€ € 63,11
27/12/2023 0:00:00;€ € 64,94
26/12/2023 23:00:00;€ € 67,35
26/12/2023 22:00:00;€ € 67,92
26/12/2023 21:00:00;€ € 64,71
26/12/2023 20:00:00;€ € 83,68
26/12/2023 19:00:00;€ € 86,39
26/12/2023 18:00:00;€ € 86,76
26/12/2023 17:00:00;€ € 79,61
26/12/2023 16:00:00;€ € 71,11
26/12/2023 15:00:00;€ € 43,88
26/12/2023 14:00:00;€ € 21,36
26/12/2023 13:00:00;€ € 1,43
26/12/2023 12:00:00;€ € 4,22
26/12/2023 11:00:00;€ € 11,00
26/12/2023 10:00:00;€ € 17,76
26/12/2023 9:00:00;€ € 19,80
26/12/2023 8:00:00;€ € 15,09
26/12/2023 7:00:00;€ € -0,11
26/12/2023 6:00:00;€ € -1,13
26/12/2023 5:00:00;€ € -1,99
26/12/2023 4:00:00;€ € -3,73
26/12/2023 3:00:00;€ € -2,84
26/12/2023 2:00:00;€ € -0,16
26/12/2023 1:00:00;€ € -0,03
26/12/2023 0:00:00;€ € 0,00
25/12/2023 23:00:00;€ € 0,08
25/12/2023 22:00:00;€ € 5,02
25/12/2023 21:00:00;€ € 5,76
25/12/2023 20:00:00;€ € 10,50
25/12/2023 19:00:00;€ € 19,21
25/12/2023 18:00:00;€ € 24,25
25/12/2023 17:00:00;€ € 18,00
25/12/2023 16:00:00;€ € 11,41
25/12/2023 15:00:00;€ € 1,76
25/12/2023 14:00:00;€ € 0,03
25/12/2023 13:00:00;€ € 0,00
25/12/2023 12:00:00;€ € 0,02
25/12/2023 11:00:00;€ € 3,82
25/12/2023 10:00:00;€ € 3,24
25/12/2023 9:00:00;€ € 1,34
25/12/2023 8:00:00;€ € -0,04
25/12/2023 7:00:00;€ € -3,81
25/12/2023 6:00:00;€ € -7,56
25/12/2023 5:00:00;€ € -8,58
25/12/2023 4:00:00;€ € -11,12
25/12/2023 3:00:00;€ € -11,80
25/12/2023 2:00:00;€ € -10,00
25/12/2023 1:00:00;€ € -8,37
25/12/2023 0:00:00;€ € -3,91
24/12/2023 23:00:00;€ € -4,79
24/12/2023 22:00:00;€ € -2,57
24/12/2023 21:00:00;€ € -1,91
24/12/2023 20:00:00;€ € 2,54
24/12/2023 19:00:00;€ € 9,49
24/12/2023 18:00:00;€ € 10,09
24/12/2023 17:00:00;€ € 9,83
24/12/2023 16:00:00;€ € 0,39
24/12/2023 15:00:00;€ € 0,22
24/12/2023 14:00:00;€ € -0,15
24/12/2023 13:00:00;€ € -1,03
24/12/2023 12:00:00;€ € -0,55
24/12/2023 11:00:00;€ € -0,91
24/12/2023 10:00:00;€ € -0,89
24/12/2023 9:00:00;€ € -0,67
24/12/2023 8:00:00;€ € -1,62
24/12/2023 7:00:00;€ € -3,05
24/12/2023 6:00:00;€ € -4,22
24/12/2023 5:00:00;€ € -4,97
24/12/2023 4:00:00;€ € -3,74
24/12/2023 3:00:00;€ € -0,97
24/12/2023 2:00:00;€ € -0,29
24/12/2023 1:00:00;€ € -0,09
24/12/2023 0:00:00;€ € 0,26
23/12/2023 23:00:00;€ € 7,82
23/12/2023 22:00:00;€ € 20,29
23/12/2023 21:00:00;€ € 29,49
23/12/2023 20:00:00;€ € 33,13
23/12/2023 19:00:00;€ € 47,54
23/12/2023 18:00:00;€ € 49,14
23/12/2023 17:00:00;€ € 39,98
23/12/2023 16:00:00;€ € 41,74
23/12/2023 15:00:00;€ € 35,90
23/12/2023 14:00:00;€ € 39,31
23/12/2023 13:00:00;€ € 37,34
23/12/2023 12:00:00;€ € 40,25
23/12/2023 11:00:00;€ € 40,59
23/12/2023 10:00:00;€ € 40,84
23/12/2023 9:00:00;€ € 42,08
23/12/2023 8:00:00;€ € 20,00
23/12/2023 7:00:00;€ € 7,43
23/12/2023 6:00:00;€ € 0,10
23/12/2023 5:00:00;€ € 0,00
23/12/2023 4:00:00;€ € -0,01
23/12/2023 3:00:00;€ € 0,00
23/12/2023 2:00:00;€ € 0,03
23/12/2023 1:00:00;€ € 1,45
23/12/2023 0:00:00;€ € 3,56
22/12/2023 23:00:00;€ € 12,00
22/12/2023 22:00:00;€ € 30,41
22/12/2023 21:00:00;€ € 32,31
22/12/2023 20:00:00;€ € 36,38
22/12/2023 19:00:00;€ € 48,08
22/12/2023 18:00:00;€ € 55,85
22/12/2023 17:00:00;€ € 52,10
22/12/2023 16:00:00;€ € 46,80
22/12/2023 15:00:00;€ € 44,55
22/12/2023 14:00:00;€ € 40,58
22/12/2023 13:00:00;€ € 35,23
22/12/2023 12:00:00;€ € 35,91
22/12/2023 11:00:00;€ € 37,34
22/12/2023 10:00:00;€ € 39,91
22/12/2023 9:00:00;€ € 57,11
22/12/2023 8:00:00;€ € 52,55
22/12/2023 7:00:00;€ € 32,73
22/12/2023 6:00:00;€ € 1,87
22/12/2023 5:00:00;€ € 0,40
22/12/2023 4:00:00;€ € -0,13
22/12/2023 3:00:00;€ € -0,12
22/12/2023 2:00:00;€ € 0,00
22/12/2023 1:00:00;€ € 0,02
22/12/2023 0:00:00;€ € 0,36
21/12/2023 23:00:00;€ € 7,47
21/12/2023 22:00:00;€ € 35,34
21/12/2023 21:00:00;€ € 43,18
21/12/2023 20:00:00;€ € 58,27
21/12/2023 19:00:00;€ € 64,43
21/12/2023 18:00:00;€ € 62,71
21/12/2023 17:00:00;€ € 61,52
21/12/2023 16:00:00;€ € 40,21
21/12/2023 15:00:00;€ € 40,28
21/12/2023 14:00:00;€ € 35,24
21/12/2023 13:00:00;€ € 33,00
21/12/2023 12:00:00;€ € 43,62
21/12/2023 11:00:00;€ € 47,47
21/12/2023 10:00:00;€ € 53,84
21/12/2023 9:00:00;€ € 55,43
21/12/2023 8:00:00;€ € 61,33
21/12/2023 7:00:00;€ € 49,01
21/12/2023 6:00:00;€ € 26,55
21/12/2023 5:00:00;€ € 1,75
21/12/2023 4:00:00;€ € 0,16
21/12/2023 3:00:00;€ € 3,55
21/12/2023 2:00:00;€ € 20,93
21/12/2023 1:00:00;€ € 25,28
21/12/2023 0:00:00;€ € 30,20
20/12/2023 23:00:00;€ € 48,99
20/12/2023 22:00:00;€ € 61,42
20/12/2023 21:00:00;€ € 66,97
20/12/2023 20:00:00;€ € 78,17
20/12/2023 19:00:00;€ € 85,31
20/12/2023 18:00:00;€ € 90,50
20/12/2023 17:00:00;€ € 94,06
20/12/2023 16:00:00;€ € 85,18
20/12/2023 15:00:00;€ € 80,56
20/12/2023 14:00:00;€ € 75,49
20/12/2023 13:00:00;€ € 65,75
20/12/2023 12:00:00;€ € 64,66
20/12/2023 11:00:00;€ € 76,61
20/12/2023 10:00:00;€ € 87,56
20/12/2023 9:00:00;€ € 91,84
20/12/2023 8:00:00;€ € 86,89
20/12/2023 7:00:00;€ € 71,01
20/12/2023 6:00:00;€ € 49,46
20/12/2023 5:00:00;€ € 40,84
20/12/2023 4:00:00;€ € 32,43
20/12/2023 3:00:00;€ € 39,98
20/12/2023 2:00:00;€ € 48,00
20/12/2023 1:00:00;€ € 50,48
20/12/2023 0:00:00;€ € 57,85
19/12/2023 23:00:00;€ € 59,86
19/12/2023 22:00:00;€ € 76,12
19/12/2023 21:00:00;€ € 79,90
19/12/2023 20:00:00;€ € 85,51
19/12/2023 19:00:00;€ € 91,55
19/12/2023 18:00:00;€ € 93,23
19/12/2023 17:00:00;€ € 95,72
19/12/2023 16:00:00;€ € 88,98
19/12/2023 15:00:00;€ € 85,09
19/12/2023 14:00:00;€ € 80,77
19/12/2023 13:00:00;€ € 76,02
19/12/2023 12:00:00;€ € 76,50
19/12/2023 11:00:00;€ € 79,71
19/12/2023 10:00:00;€ € 86,10
19/12/2023 9:00:00;€ € 94,32
19/12/2023 8:00:00;€ € 100,56
19/12/2023 7:00:00;€ € 94,14
19/12/2023 6:00:00;€ € 80,70
19/12/2023 5:00:00;€ € 65,15
19/12/2023 4:00:00;€ € 59,12
19/12/2023 3:00:00;€ € 57,15
19/12/2023 2:00:00;€ € 63,31
19/12/2023 1:00:00;€ € 62,65
19/12/2023 0:00:00;€ € 65,61
18/12/2023 23:00:00;€ € 68,67
18/12/2023 22:00:00;€ € 73,79
18/12/2023 21:00:00;€ € 79,97
18/12/2023 20:00:00;€ € 81,68
18/12/2023 19:00:00;€ € 96,48
18/12/2023 18:00:00;€ € 103,34
18/12/2023 17:00:00;€ € 104,43
18/12/2023 16:00:00;€ € 95,49
18/12/2023 15:00:00;€ € 85,91
18/12/2023 14:00:00;€ € 81,23
18/12/2023 13:00:00;€ € 75,02
18/12/2023 12:00:00;€ € 74,89
18/12/2023 11:00:00;€ € 81,17
18/12/2023 10:00:00;€ € 89,03
18/12/2023 9:00:00;€ € 105,67
18/12/2023 8:00:00;€ € 109,51
18/12/2023 7:00:00;€ € 103,72
18/12/2023 6:00:00;€ € 84,31
18/12/2023 5:00:00;€ € 66,16
18/12/2023 4:00:00;€ € 54,51
18/12/2023 3:00:00;€ € 51,34
18/12/2023 2:00:00;€ € 57,98
18/12/2023 1:00:00;€ € 57,13
18/12/2023 0:00:00;€ € 61,09
17/12/2023 23:00:00;€ € 61,53
17/12/2023 22:00:00;€ € 79,44
17/12/2023 21:00:00;€ € 76,20
17/12/2023 20:00:00;€ € 77,08
17/12/2023 19:00:00;€ € 86,87
17/12/2023 18:00:00;€ € 88,46
17/12/2023 17:00:00;€ € 82,60
17/12/2023 16:00:00;€ € 65,36
17/12/2023 15:00:00;€ € 57,55
17/12/2023 14:00:00;€ € 46,67
17/12/2023 13:00:00;€ € 40,18
17/12/2023 12:00:00;€ € 43,71
17/12/2023 11:00:00;€ € 49,00
17/12/2023 10:00:00;€ € 54,43
17/12/2023 9:00:00;€ € 59,17
17/12/2023 8:00:00;€ € 57,69
17/12/2023 7:00:00;€ € 46,36
17/12/2023 6:00:00;€ € 39,09
17/12/2023 5:00:00;€ € 29,90
17/12/2023 4:00:00;€ € 26,38
17/12/2023 3:00:00;€ € 28,72
17/12/2023 2:00:00;€ € 46,37
17/12/2023 1:00:00;€ € 44,20
17/12/2023 0:00:00;€ € 46,02
16/12/2023 23:00:00;€ € 62,67
16/12/2023 22:00:00;€ € 74,41
16/12/2023 21:00:00;€ € 73,85
16/12/2023 20:00:00;€ € 84,54
16/12/2023 19:00:00;€ € 93,95
16/12/2023 18:00:00;€ € 101,60
16/12/2023 17:00:00;€ € 95,82
16/12/2023 16:00:00;€ € 84,02
16/12/2023 15:00:00;€ € 80,42
16/12/2023 14:00:00;€ € 75,48
16/12/2023 13:00:00;€ € 70,68
16/12/2023 12:00:00;€ € 71,64
16/12/2023 11:00:00;€ € 76,39
16/12/2023 10:00:00;€ € 82,76
16/12/2023 9:00:00;€ € 86,29
16/12/2023 8:00:00;€ € 79,89
16/12/2023 7:00:00;€ € 65,10
16/12/2023 6:00:00;€ € 59,34
16/12/2023 5:00:00;€ € 55,64
16/12/2023 4:00:00;€ € 54,10
16/12/2023 3:00:00;€ € 58,00
16/12/2023 2:00:00;€ € 60,37
16/12/2023 1:00:00;€ € 63,21
16/12/2023 0:00:00;€ € 67,20
15/12/2023 23:00:00;€ € 76,71
15/12/2023 22:00:00;€ € 86,77
15/12/2023 21:00:00;€ € 88,36
15/12/2023 20:00:00;€ € 93,36
15/12/2023 19:00:00;€ € 93,44
15/12/2023 18:00:00;€ € 101,97
15/12/2023 17:00:00;€ € 104,48
15/12/2023 16:00:00;€ € 98,54
15/12/2023 15:00:00;€ € 89,19
15/12/2023 14:00:00;€ € 87,20
15/12/2023 13:00:00;€ € 88,41
15/12/2023 12:00:00;€ € 94,24
15/12/2023 11:00:00;€ € 102,78
15/12/2023 10:00:00;€ € 109,97
15/12/2023 9:00:00;€ € 117,51
15/12/2023 8:00:00;€ € 121,50
15/12/2023 7:00:00;€ € 106,68
15/12/2023 6:00:00;€ € 95,97
15/12/2023 5:00:00;€ € 80,41
15/12/2023 4:00:00;€ € 75,16
15/12/2023 3:00:00;€ € 76,50
15/12/2023 2:00:00;€ € 80,06
15/12/2023 1:00:00;€ € 82,89
15/12/2023 0:00:00;€ € 86,09
14/12/2023 23:00:00;€ € 85,57
14/12/2023 22:00:00;€ € 94,46
14/12/2023 21:00:00;€ € 96,20
14/12/2023 20:00:00;€ € 101,90
14/12/2023 19:00:00;€ € 114,22
14/12/2023 18:00:00;€ € 124,72
14/12/2023 17:00:00;€ € 124,74
14/12/2023 16:00:00;€ € 116,39
14/12/2023 15:00:00;€ € 105,31
14/12/2023 14:00:00;€ € 101,32
14/12/2023 13:00:00;€ € 97,66
14/12/2023 12:00:00;€ € 103,90
14/12/2023 11:00:00;€ € 107,44
14/12/2023 10:00:00;€ € 109,89
14/12/2023 9:00:00;€ € 112,72
14/12/2023 8:00:00;€ € 111,71
14/12/2023 7:00:00;€ € 106,47
14/12/2023 6:00:00;€ € 86,38
14/12/2023 5:00:00;€ € 80,16
14/12/2023 4:00:00;€ € 76,84
14/12/2023 3:00:00;€ € 77,03
14/12/2023 2:00:00;€ € 74,25
14/12/2023 1:00:00;€ € 75,69
14/12/2023 0:00:00;€ € 77,34
13/12/2023 23:00:00;€ € 84,25
13/12/2023 22:00:00;€ € 92,35
13/12/2023 21:00:00;€ € 90,88
13/12/2023 20:00:00;€ € 94,60
13/12/2023 19:00:00;€ € 101,97
13/12/2023 18:00:00;€ € 105,34
13/12/2023 17:00:00;€ € 109,88
13/12/2023 16:00:00;€ € 97,95
13/12/2023 15:00:00;€ € 99,64
13/12/2023 14:00:00;€ € 101,18
13/12/2023 13:00:00;€ € 95,23
13/12/2023 12:00:00;€ € 97,60
13/12/2023 11:00:00;€ € 99,88
13/12/2023 10:00:00;€ € 99,42
13/12/2023 9:00:00;€ € 102,35
13/12/2023 8:00:00;€ € 97,98
13/12/2023 7:00:00;€ € 100,84
13/12/2023 6:00:00;€ € 82,43
13/12/2023 5:00:00;€ € 75,65
13/12/2023 4:00:00;€ € 73,08
13/12/2023 3:00:00;€ € 71,50
13/12/2023 2:00:00;€ € 73,74
13/12/2023 1:00:00;€ € 72,94
13/12/2023 0:00:00;€ € 75,51
12/12/2023 23:00:00;€ € 76,90
12/12/2023 22:00:00;€ € 77,68
12/12/2023 21:00:00;€ € 84,32
12/12/2023 20:00:00;€ € 90,31
12/12/2023 19:00:00;€ € 93,60
12/12/2023 18:00:00;€ € 105,40
12/12/2023 17:00:00;€ € 99,29
12/12/2023 16:00:00;€ € 94,64
12/12/2023 15:00:00;€ € 98,31
12/12/2023 14:00:00;€ € 96,16
12/12/2023 13:00:00;€ € 90,54
12/12/2023 12:00:00;€ € 100,04
12/12/2023 11:00:00;€ € 101,97
12/12/2023 10:00:00;€ € 101,94
12/12/2023 9:00:00;€ € 115,10
12/12/2023 8:00:00;€ € 119,67
12/12/2023 7:00:00;€ € 111,26
12/12/2023 6:00:00;€ € 93,48
12/12/2023 5:00:00;€ € 81,94
12/12/2023 4:00:00;€ € 81,48
12/12/2023 3:00:00;€ € 84,42
12/12/2023 2:00:00;€ € 85,62
12/12/2023 1:00:00;€ € 87,06
12/12/2023 0:00:00;€ € 88,07
11/12/2023 23:00:00;€ € 88,10
11/12/2023 22:00:00;€ € 96,55
11/12/2023 21:00:00;€ € 99,60
11/12/2023 20:00:00;€ € 114,21
11/12/2023 19:00:00;€ € 121,69
11/12/2023 18:00:00;€ € 123,12
11/12/2023 17:00:00;€ € 118,90
11/12/2023 16:00:00;€ € 107,16
