"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","0","1964","2229"
"BZN|BE","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","0","1983","2192"
"BZN|BE","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","0","1976","2191"
"BZN|BE","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","0","1923","2164"
"BZN|BE","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","0","1992","2113"
"BZN|BE","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","0","1961","2009"
"BZN|BE","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","0","1985","1985"
"BZN|BE","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","0","1985","1904"
"BZN|BE","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","0","2091","1738"
"BZN|BE","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","75","2027","1676"
"BZN|BE","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","284","1927","1582"
"BZN|BE","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","709","1420","1538"
"BZN|BE","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","767","1553","1445"
"BZN|BE","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","521","1681","1335"
"BZN|BE","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","292","1639","1101"
"BZN|BE","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","97","1327","956"
"BZN|BE","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","5","997","894"
"BZN|BE","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","0","1090","863"
"BZN|BE","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","0","1232","983"
"BZN|BE","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","0","488","975"
"BZN|BE","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","0","549","1037"
"BZN|BE","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","0","676","1192"
"BZN|BE","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","0","868","1453"
"BZN|BE","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","0","1009","1459"
"BZN|BE","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","0","1076","1635"
"BZN|BE","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","0","729","1766"
"BZN|BE","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","0","541","1854"
"BZN|BE","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","0","377","1828"
"BZN|BE","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","0","364","1779"
"BZN|BE","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","0","471","1536"
"BZN|BE","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","0","417","1202"
"BZN|BE","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","0","602","1058"
"BZN|BE","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","0","744","881"
"BZN|BE","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","56","943","579"
"BZN|BE","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","260","1008","446"
"BZN|BE","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","402","1304","445"
"BZN|BE","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","392","767","452"
"BZN|BE","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","384","649","508"
"BZN|BE","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","452","615","658"
"BZN|BE","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","247","573","834"
"BZN|BE","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","39","485","943"
"BZN|BE","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","0","371","863"
"BZN|BE","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","0","278","766"
"BZN|BE","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","0","275","730"
"BZN|BE","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","0","278","809"
"BZN|BE","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","0","285","800"
"BZN|BE","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","0","343","757"
"BZN|BE","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","0","454","659"
"BZN|BE","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","0","275","521"
"BZN|BE","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","0","81","381"
"BZN|BE","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","0","25","351"
"BZN|BE","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","0","69","529"
"BZN|BE","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","0","135","657"
"BZN|BE","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","0","321","753"
"BZN|BE","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","0","593","823"
"BZN|BE","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","0","747","924"
"BZN|BE","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","0","1040","924"
"BZN|BE","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","92","1359","958"
"BZN|BE","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","310","1866","1031"
"BZN|BE","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","569","2020","1068"
"BZN|BE","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","834","1961","1127"
"BZN|BE","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","1008","2000","1184"
"BZN|BE","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","774","2141","1226"
"BZN|BE","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","372","2142","1289"
"BZN|BE","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","53","2153","1471"
"BZN|BE","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","0","2159","1656"
"BZN|BE","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","0","2167","1888"
"BZN|BE","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","0","2168","2025"
"BZN|BE","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","0","2163","2123"
"BZN|BE","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","0","2162","2224"
"BZN|BE","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","0","2168","2283"
"BZN|BE","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","0","2166","2309"
"BZN|BE","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","0","2126","2330"
"BZN|BE","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","0","2155","2322"
"BZN|BE","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","0","2131","2294"
"BZN|BE","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","0","2157","2284"
"BZN|BE","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","0","2161","2280"
"BZN|BE","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","0","2149","2262"
"BZN|BE","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","0","2136","2295"
"BZN|BE","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","0","2136","2342"
"BZN|BE","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","0","2149","2301"
"BZN|BE","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","20","2160","2283"
"BZN|BE","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","92","2160","2302"
"BZN|BE","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","189","2155","2315"
"BZN|BE","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","236","2144","2282"
"BZN|BE","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","231","2153","2191"
"BZN|BE","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","206","2147","2142"
"BZN|BE","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","97","2148","2065"
"BZN|BE","04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","11","2133","2164"
"BZN|BE","04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","0","2125","2255"
