,Actual Total Load [MW] - BZN|BE
2023-01-01 00:00:00,7378.5
2023-01-01 01:00:00,7083.0
2023-01-01 02:00:00,6820.25
2023-01-01 03:00:00,6588.5
2023-01-01 04:00:00,6430.75
2023-01-01 05:00:00,6464.25
2023-01-01 06:00:00,6634.0
2023-01-01 07:00:00,6716.0
2023-01-01 08:00:00,6828.0
2023-01-01 09:00:00,7008.0
2023-01-01 10:00:00,7342.25
2023-01-01 11:00:00,7941.75
2023-01-01 12:00:00,7888.75
2023-01-01 13:00:00,7599.25
2023-01-01 14:00:00,7704.0
2023-01-01 15:00:00,7470.75
2023-01-01 16:00:00,7759.75
2023-01-01 17:00:00,8160.5
2023-01-01 18:00:00,8339.75
2023-01-01 19:00:00,8146.0
2023-01-01 20:00:00,8012.5
2023-01-01 21:00:00,7776.5
2023-01-01 22:00:00,7757.0
2023-01-01 23:00:00,7566.25
2023-01-02 00:00:00,7184.25
2023-01-02 01:00:00,6680.25
2023-01-02 02:00:00,6222.5
2023-01-02 03:00:00,6200.25
2023-01-02 04:00:00,6311.0
2023-01-02 05:00:00,6712.75
2023-01-02 06:00:00,7497.75
2023-01-02 07:00:00,7874.0
2023-01-02 08:00:00,8595.0
2023-01-02 09:00:00,8962.5
2023-01-02 10:00:00,9278.75
2023-01-02 11:00:00,9584.5
2023-01-02 12:00:00,9603.0
2023-01-02 13:00:00,9414.25
2023-01-02 14:00:00,9355.0
2023-01-02 15:00:00,9317.5
2023-01-02 16:00:00,9382.75
2023-01-02 17:00:00,9954.0
2023-01-02 18:00:00,10058.75
2023-01-02 19:00:00,9643.75
2023-01-02 20:00:00,9168.5
2023-01-02 21:00:00,8693.25
2023-01-02 22:00:00,8736.25
2023-01-02 23:00:00,8608.5
2023-01-03 00:00:00,8108.5
2023-01-03 01:00:00,7749.5
2023-01-03 02:00:00,7424.75
2023-01-03 03:00:00,7332.5
2023-01-03 04:00:00,7360.0
2023-01-03 05:00:00,7689.0
2023-01-03 06:00:00,8431.25
2023-01-03 07:00:00,9113.25
2023-01-03 08:00:00,9846.25
2023-01-03 09:00:00,10105.0
2023-01-03 10:00:00,10359.75
2023-01-03 11:00:00,10470.25
2023-01-03 12:00:00,10252.75
2023-01-03 13:00:00,10182.0
2023-01-03 14:00:00,10036.75
2023-01-03 15:00:00,10032.5
2023-01-03 16:00:00,10242.0
2023-01-03 17:00:00,10847.25
2023-01-03 18:00:00,10848.0
2023-01-03 19:00:00,10429.5
2023-01-03 20:00:00,9861.25
2023-01-03 21:00:00,9363.5
2023-01-03 22:00:00,9385.5
2023-01-03 23:00:00,9127.0
2023-01-04 00:00:00,8543.5
2023-01-04 01:00:00,7998.75
2023-01-04 02:00:00,7767.75
2023-01-04 03:00:00,7649.0
2023-01-04 04:00:00,7690.0
2023-01-04 05:00:00,8066.25
2023-01-04 06:00:00,8789.75
2023-01-04 07:00:00,9438.25
2023-01-04 08:00:00,10054.5
2023-01-04 09:00:00,10326.5
2023-01-04 10:00:00,10547.5
2023-01-04 11:00:00,10784.25
2023-01-04 12:00:00,10761.0
2023-01-04 13:00:00,10637.0
2023-01-04 14:00:00,10541.25
2023-01-04 15:00:00,10464.75
2023-01-04 16:00:00,10547.75
2023-01-04 17:00:00,10888.5
2023-01-04 18:00:00,10905.0
2023-01-04 19:00:00,10469.5
2023-01-04 20:00:00,9941.75
2023-01-04 21:00:00,9413.0
2023-01-04 22:00:00,9331.75
2023-01-04 23:00:00,9239.75
2023-01-05 00:00:00,8548.75
2023-01-05 01:00:00,8107.25
2023-01-05 02:00:00,7770.0
2023-01-05 03:00:00,7613.0
2023-01-05 04:00:00,7667.75
2023-01-05 05:00:00,8145.25
2023-01-05 06:00:00,9043.25
2023-01-05 07:00:00,9572.25
2023-01-05 08:00:00,10218.0
2023-01-05 09:00:00,10446.75
2023-01-05 10:00:00,10460.75
2023-01-05 11:00:00,10510.25
2023-01-05 12:00:00,10598.75
2023-01-05 13:00:00,10520.25
2023-01-05 14:00:00,10359.0
2023-01-05 15:00:00,10589.25
2023-01-05 16:00:00,10482.5
2023-01-05 17:00:00,10885.0
2023-01-05 18:00:00,10862.5
2023-01-05 19:00:00,10525.5
2023-01-05 20:00:00,9894.25
2023-01-05 21:00:00,9383.25
2023-01-05 22:00:00,9328.25
2023-01-05 23:00:00,8993.5
2023-01-06 00:00:00,8378.25
2023-01-06 01:00:00,7954.5
2023-01-06 02:00:00,7685.5
2023-01-06 03:00:00,7591.5
2023-01-06 04:00:00,7678.25
2023-01-06 05:00:00,7969.25
2023-01-06 06:00:00,8760.75
2023-01-06 07:00:00,9336.5
2023-01-06 08:00:00,9998.75
2023-01-06 09:00:00,10456.25
2023-01-06 10:00:00,10556.25
2023-01-06 11:00:00,10732.5
2023-01-06 12:00:00,10692.0
2023-01-06 13:00:00,10636.75
2023-01-06 14:00:00,10439.5
2023-01-06 15:00:00,10301.0
2023-01-06 16:00:00,10341.0
2023-01-06 17:00:00,10780.5
2023-01-06 18:00:00,10619.5
2023-01-06 19:00:00,10206.75
2023-01-06 20:00:00,9754.5
2023-01-06 21:00:00,9312.5
