,BE Generation,BE Load,BE Solar,BE Wind,Price
2018-01-01 00:00:00,9572.0,8781.25,0.0,2253.0,4.74
2018-01-01 01:00:00,9484.0,8531.5,0.0,2247.0,3.66
2018-01-01 02:00:00,9584.0,8336.5,0.0,2220.0,1.26
2018-01-01 03:00:00,9377.0,8246.5,0.0,2174.0,-20.1
2018-01-01 04:00:00,9847.0,8223.25,0.0,2123.0,-31.82
2018-01-01 05:00:00,9745.0,8083.0,0.0,2086.0,-28.66
2018-01-01 06:00:00,9650.0,7952.5,0.0,2052.0,-13.71
2018-01-01 07:00:00,9129.0,7951.5,1.0,2019.0,-19.33
2018-01-01 08:00:00,9056.0,8109.25,35.0,1999.0,-15.78
2018-01-01 09:00:00,8871.0,8395.25,115.0,1962.0,-12.05
2018-01-01 10:00:00,8937.0,8715.0,183.0,1886.0,-0.42
2018-01-01 11:00:00,9089.0,8772.25,205.0,1727.0,2.3
2018-01-01 12:00:00,8957.0,8621.75,165.0,1481.0,2.3
2018-01-01 13:00:00,8850.0,8568.75,101.0,1239.0,13.76
2018-01-01 14:00:00,8464.0,8673.0,48.0,1042.0,15.43
2018-01-01 15:00:00,8319.0,9148.75,7.0,887.0,25.46
2018-01-01 16:00:00,8497.0,9408.25,0.0,945.0,32.7
2018-01-01 17:00:00,9404.0,9328.25,0.0,1214.0,32.7
2018-01-01 18:00:00,8900.0,9104.0,0.0,1412.0,23.42
2018-01-01 19:00:00,8716.0,8999.0,0.0,1549.0,20.34
2018-01-01 20:00:00,8715.0,9262.0,0.0,1697.0,21.95
2018-01-01 21:00:00,8737.0,9493.5,0.0,1785.0,23.52
2018-01-01 22:00:00,9017.0,10977.5,0.0,1797.0,16.35
2018-01-01 23:00:00,8955.0,9266.0,0.0,1745.0,13.02
2018-01-02 00:00:00,8957.0,8153.0,0.0,1789.0,8.45
2018-01-02 01:00:00,9673.0,7842.5,0.0,1823.0,5.09
2018-01-02 02:00:00,9856.0,7725.25,0.0,1828.0,1.64
2018-01-02 03:00:00,9914.0,7847.5,0.0,1781.0,1.41
2018-01-02 04:00:00,9876.0,8326.5,0.0,1667.0,8.36
2018-01-02 05:00:00,9693.0,9297.25,0.0,1496.0,22.58
2018-01-02 06:00:00,8923.0,10008.75,0.0,1285.0,41.92
2018-01-02 07:00:00,9186.0,10656.25,1.0,1063.0,47.95
2018-01-02 08:00:00,9135.0,11420.0,61.0,903.0,49.9
2018-01-02 09:00:00,9851.0,11708.25,203.0,845.0,50.0
2018-01-02 10:00:00,10488.0,11636.25,295.0,835.0,49.7
2018-01-02 11:00:00,10430.0,11494.5,306.0,839.0,48.16
2018-01-02 12:00:00,10117.0,11384.0,259.0,889.0,47.24
2018-01-02 13:00:00,9617.0,11352.25,186.0,1035.0,46.1
2018-01-02 14:00:00,9508.0,11334.5,94.0,1264.0,43.86
2018-01-02 15:00:00,9940.0,11893.75,13.0,1500.0,43.64
2018-01-02 16:00:00,9906.0,12125.75,0.0,1720.0,47.37
2018-01-02 17:00:00,10467.0,11776.75,0.0,1895.0,46.08
2018-01-02 18:00:00,10563.0,11200.5,0.0,1975.0,41.08
2018-01-02 19:00:00,10097.0,10675.0,0.0,1978.0,34.94
2018-01-02 20:00:00,9681.0,10647.5,0.0,1969.0,25.46
2018-01-02 21:00:00,9456.0,10759.0,0.0,1979.0,24.71
2018-01-02 22:00:00,9414.0,10353.25,0.0,2025.0,19.89
2018-01-02 23:00:00,9495.0,9558.0,0.0,2122.0,15.13
2018-01-03 00:00:00,9695.0,8957.25,0.0,2181.0,9.25
2018-01-03 01:00:00,10599.0,8713.25,0.0,2211.0,8.55
2018-01-03 02:00:00,9927.0,8744.5,0.0,2203.0,5.64
2018-01-03 03:00:00,10582.0,9075.75,0.0,2150.0,4.11
2018-01-03 04:00:00,10653.0,9785.75,0.0,2100.0,7.37
2018-01-03 05:00:00,10033.0,10549.75,0.0,2058.0,14.89
2018-01-03 06:00:00,9767.0,11344.0,0.0,2017.0,25.73
2018-01-03 07:00:00,9568.0,11709.5,1.0,2013.0,29.59
2018-01-03 08:00:00,9501.0,11968.5,66.0,2019.0,29.21
2018-01-03 09:00:00,9393.0,12139.25,211.0,2004.0,30.0
2018-01-03 10:00:00,9900.0,12020.75,306.0,1982.0,30.0
2018-01-03 11:00:00,10163.0,11856.25,324.0,1973.0,26.39
2018-01-03 12:00:00,10349.0,11880.75,307.0,1982.0,30.0
2018-01-03 13:00:00,10250.0,11880.75,236.0,2012.0,30.0
2018-01-03 14:00:00,10265.0,11821.5,123.0,2057.0,32.87
2018-01-03 15:00:00,10506.0,12454.75,19.0,2085.0,37.5
2018-01-03 16:00:00,10203.0,12756.25,0.0,2088.0,34.55
2018-01-03 17:00:00,10586.0,12371.0,0.0,2092.0,36.67
2018-01-03 18:00:00,10512.0,11617.0,0.0,2097.0,26.27
2018-01-03 19:00:00,10035.0,10938.0,0.0,2109.0,27.32
2018-01-03 20:00:00,9788.0,10822.25,0.0,2120.0,21.23
2018-01-03 21:00:00,9660.0,11058.5,0.0,2105.0,20.22
2018-01-03 22:00:00,9548.0,10530.0,0.0,2068.0,20.95
2018-01-03 23:00:00,9558.0,9687.75,0.0,1995.0,19.0
2018-01-04 00:00:00,10140.0,9156.5,0.0,1927.0,9.2
2018-01-04 01:00:00,10591.0,8891.25,0.0,1822.0,8.66
2018-01-04 02:00:00,10588.0,8856.5,0.0,1675.0,7.7
2018-01-04 03:00:00,10365.0,9109.5,0.0,1493.0,9.8
2018-01-04 04:00:00,10210.0,9826.75,0.0,1231.0,14.69
